cfips,pop_2010,pop_2015,pop_2020,pop_5yr_pct_chg,pop_10yr_pct_chg
02090,98272.0,99812.0,95651.0,-4.168837414338957,-2.6670872679908824
02100,2501.0,2519.0,2614.0,3.7713378324732036,4.518192722910836
02105,2100.0,2126.0,2141.0,0.7055503292568204,1.9523809523809523
02110,31387.0,32644.0,31849.0,-2.435363313319446,1.4719469844203015
02122,55554.0,58075.0,59414.0,2.3056392595781317,6.9481945494473845
02130,13584.0,13737.0,13747.0,0.07279609812914027,1.1999411071849235
02150,13653.0,13760.0,12992.0,-5.5813953488372094,-4.841426792646305
02158,7469.0,8201.0,8328.0,1.548591635166443,11.500870263756862
02164,1641.0,1597.0,1493.0,-6.512210394489668,-9.018890920170628
02170,89731.0,101162.0,110213.0,8.947035448093157,22.826002162017584
02180,9543.0,9901.0,9909.0,0.0807999192000808,3.83527192706696
02185,9067.0,9382.0,9294.0,-0.9379663184821999,2.5035844270431236
02188,7562.0,7787.0,7644.0,-1.8363939899833055,1.0843692144935202
02195,3219.0,3251.0,3296.0,1.3841894801599508,2.3920472196334264
02198,6211.0,6508.0,6147.0,-5.547019053472649,-1.0304298824665916
02220,8880.0,8789.0,8405.0,-4.369097735806121,-5.349099099099099
02230,968.0,1090.0,1179.0,8.1651376146789,21.797520661157026
02240,7064.0,6827.0,6957.0,1.9042038962941263,-1.514722536806342
02261,,,,,
02275,2373.0,2452.0,2510.0,2.365415986949429,5.7732827644332065
02282,662.0,637.0,637.0,0.0,-3.7764350453172204
02290,5607.0,5461.0,5077.0,-7.031679179637429,-9.45247012662743
04001,71828.0,71026.0,71875.0,1.1953369188747782,0.0654340925544356
04003,131823.0,126594.0,127450.0,0.6761773859740589,-3.3173270218398914
04005,134624.0,139100.0,142481.0,2.4306254493170383,5.836255051105301
04007,53565.0,53020.0,54303.0,2.4198415692191624,1.3777653318398209
04009,37154.0,37888.0,39211.0,3.491870777027027,5.53641599827744
04011,8342.0,9587.0,9341.0,-2.565974757484093,11.97554543274994
04012,20499.0,20476.0,21480.0,4.903301426059778,4.7855992975267085
04013,3825183.0,4174423.0,4579081.0,9.693746896277641,19.70880870274703
04015,200336.0,204890.0,217206.0,6.011030308946264,8.420852967015414
04017,107693.0,107695.0,112112.0,4.101397465063373,4.103330764302229
04019,981649.0,1009490.0,1061175.0,5.119912034789844,8.101266338579268
04021,379106.0,405922.0,480828.0,18.45329890964274,26.832073351516463
04023,47402.0,46493.0,46808.0,0.6775213472995935,-1.253111683051348
04025,210990.0,221019.0,240226.0,8.690203104710454,13.856580880610455
04027,197148.0,205187.0,217824.0,6.1587722419061635,10.487552498630471
05001,19049.0,18376.0,17383.0,-5.4037875489769265,-8.745865924720459
05003,21832.0,20856.0,19339.0,-7.273686229382432,-11.41901795529498
05005,41511.0,41156.0,42242.0,2.6387404023714645,1.7609790176097901
05007,222601.0,251759.0,288774.0,14.702552838230213,29.72718002165309
05009,36893.0,37165.0,37625.0,1.2377236647383292,1.9841162280107338
05011,11470.0,10999.0,10639.0,-3.2730248204382217,-7.2449869224062775
05013,5361.0,5197.0,5113.0,-1.6163171060227055,-4.626002611453087
05015,27556.0,27777.0,28276.0,1.796450300608417,2.6128610828857597
05017,11799.0,10987.0,9924.0,-9.675070537908438,-15.89117721840834
05019,22928.0,22536.0,22103.0,-1.9213702520411786,-3.5982205163991625
05021,16050.0,15206.0,14375.0,-5.464948046823622,-10.43613707165109
05023,25989.0,25384.0,24935.0,-1.7688307595335644,-4.055561968525145
05025,8677.0,8290.0,7957.0,-4.0168878166465625,-8.297798778379624
05027,24722.0,24118.0,23331.0,-3.263122978688117,-5.626567429819594
05029,21219.0,20939.0,21037.0,0.46802617125937246,-0.8577218530562232
05031,96751.0,104509.0,112245.0,7.402233300481298,16.01430476170789
05033,61961.0,61963.0,63409.0,2.333650727046786,2.3369538903503817
05035,50955.0,48972.0,47616.0,-2.7689291840235235,-6.5528407418310275
05037,17868.0,17253.0,16142.0,-6.439459804092042,-9.65972688605328
05039,8066.0,7539.0,6802.0,-9.775832338506433,-15.670716588147782
05041,12953.0,12024.0,11110.0,-7.60146373918829,-14.22836408554003
05043,18666.0,18615.0,17977.0,-3.427343540155788,-3.691203257259188
05045,114035.0,121333.0,126919.0,4.603858801809895,11.298285614065858
05047,18137.0,17753.0,17897.0,0.8111305131527066,-1.3232618404366765
05049,12210.0,12149.0,12381.0,1.9096221911268416,1.4004914004914004
05051,96080.0,97930.0,99789.0,1.89829470029613,3.860324729392173
05053,17887.0,18031.0,18449.0,2.3182297154899896,3.141946665175826
05055,42202.0,44321.0,45597.0,2.8789964125358183,8.044642434007867
05057,22604.0,22095.0,21253.0,-3.81081692690654,-5.9768182622544686
05059,33236.0,33511.0,33787.0,0.8236101578586136,1.6578408954146107
05061,13798.0,13332.0,13109.0,-1.6726672667266727,-4.993477315552979
05063,36811.0,37055.0,37757.0,1.8944811766293348,2.5698840020646
05065,13732.0,13495.0,13613.0,0.8743979251574657,-0.8665889892222546
05067,18066.0,17386.0,16636.0,-4.313815713792707,-7.91542123325584
05069,77332.0,71920.0,65377.0,-9.097608453837598,-15.459318264108003
05071,25560.0,26103.0,26513.0,1.5707006857449335,3.7284820031298906
05073,7638.0,7009.0,6596.0,-5.892424026251962,-13.642314742079078
05075,17518.0,16705.0,16410.0,-1.7659383418138281,-6.3249229364082655
05077,10388.0,9660.0,8513.0,-11.873706004140788,-18.04967269926839
05079,14090.0,13872.0,12944.0,-6.689734717416378,-8.133427963094393
05081,13133.0,12417.0,12180.0,-1.9086735926552307,-7.256529353536892
05083,22307.0,21728.0,21410.0,-1.4635493372606774,-4.021159277356883
05085,68739.0,71409.0,73921.0,3.51776386729964,7.538660731171533
05087,15686.0,15719.0,16644.0,5.88459825688657,6.107356878745378
05089,16665.0,16226.0,16790.0,3.475902871933933,0.7500750075007501
05091,43568.0,43858.0,43177.0,-1.5527383829631993,-0.8974476680132207
05093,46350.0,43692.0,40066.0,-8.299002105648631,-13.557713052858684
05095,8138.0,7454.0,6584.0,-11.671585725784814,-19.095600884738264
